SECTION,ASSET TYPE,ASSET NAME,GROWN BRILLIANCE (What they have),JEWEL-STONE CURRENT STATE,STATUS,QTY NEEDED,DIMENSIONS / FORMAT,PRIORITY,AI IMAGE/VIDEO PROMPT (Google Imagen / Veo),NOTES
,,,,,,,,,,
BRANDING & LOGO,,,,,,,,,
,Logo,Primary logo – light bg,"Wordmark ""GROWN BRILLIANCE"" white #FFFFFF + dark #313131, refined serif, monochrome",logo.png exists – unknown quality/font,⚠ Review needed,1,SVG + PNG 400×120px transparent bg,🔴 Critical,"Create a luxury fine jewelry brand wordmark logo for ""Jewel Stone"" using an elegant thin-serif typeface (similar to Bodoni or Didot), deep charcoal color #1a1a1a on transparent background, minimal and timeless, no flourishes, high contrast, suitable for high-end jewelry e-commerce",Must be SVG for crisp rendering at all sizes
,Logo,Primary logo – dark bg,Same wordmark reversed to white on dark,logo-transparent.png exists,⚠ Review needed,1,SVG + PNG transparent bg,🔴 Critical,"Same as above but white #FFFFFF version for dark backgrounds, transparent background, luxury jewelry brand wordmark",White version for hero video overlays
,Logo,Favicon / App icon,Monogram or logomark as 32×32 favicon,Not found,✗ Missing,1,"ICO + PNG 32×32, 180×180, 512×512",🔴 Critical,"Minimal monogram lettermark ""JS"" or a single diamond gem icon for a favicon, ultra-clean, dark gold or charcoal, on transparent square background",Also needed for PWA manifest
,Logo,Email signature / footer logo,Same wordmark at small scale,Present in footer,Has logo.png,✓ OK if logo is fixed,1,PNG 200×60px,🟡 Important,Same as primary logo prompt,Re-export from final SVG
,,,,,,,,,,
HERO – VIDEO,,,,,,,,,
,Hero Video,Main hero background loop,"Full-width editorial jewelry lifestyle video, woman wearing ring closeup, slow-motion sparkle, 15–30s loop","hero-ring.mp4, hero-v2.mp4, hero-v3.mp4 exist",⚠ Quality unknown,1,"MP4 H.264, 1920×1080, 15–30s, no audio, loop",🔴 Critical,"Cinematic close-up slow-motion video of a woman's hand gently placing a sparkling lab-grown diamond solitaire engagement ring on her finger, warm studio lighting, soft bokeh background, cream and champagne tones, ultra high definition, luxury jewelry editorial style, 24fps, no text",Check if existing videos are high enough quality for full-bleed desktop hero
,Hero Video,Hero video – variant 2 (necklace/lifestyle),Rotating seasonal hero,hero-v2.mp4 exists,⚠ Quality unknown,1,"MP4, 1920×1080, 15–30s loop",🟡 Important,"Cinematic slow-motion video of a woman in an elegant black dress, close-up on her neckline wearing a sparkling diamond pendant necklace, warm golden light, luxury hotel setting, shallow depth of field, champagne and gold tones, editorial fashion photography style",For A/B testing or seasonal homepage
,Hero Video,Hero video – variant 3 (earrings/bridal),Additional rotation option,hero-v3.mp4 exists,⚠ Quality unknown,1,"MP4, 1920×1080, 15–30s loop",🟡 Important,"Close-up slow-motion video of a bride's profile with diamond drop earrings catching light, natural window light, soft white and cream background, bokeh, ultra detailed sparkle on diamonds, luxury bridal editorial, 24fps",Bridal angle for spring/wedding season
,Hero Video,Mobile hero video / compressed,Mobile-optimized shorter version,Not present,✗ Missing,1,"MP4, 640×1136 vertical 9:16, 10s",🟡 Important,"Vertical portrait format, same as main hero but reframed for mobile: close-up of elegant woman's hand with diamond ring against cream marble background, slow motion, warm light",Use FFmpeg to transcode from main hero video
,,,,,,,,,,
HERO – IMAGES,,,,,,,,,
,Hero Image,Hero fallback poster (video not loaded),"Full-bleed luxury lifestyle photo, woman wearing hero jewelry",hero-poster.jpg exists (new/hero-ring-poster.jpg too),⚠ May need upgrade,1,"JPG 1920×1080, 90% quality",🔴 Critical,"Ultra high resolution luxury jewelry editorial photograph: a woman's elegant hand close-up wearing a sparkling round brilliant diamond solitaire engagement ring in 14K white gold, soft cream background, studio lighting from upper left, diamond sparkle visible, shallow depth of field, 8K detail, magazine quality",Must match video first frame to avoid flash on load
,Hero Image,Hero image – mobile portrait,Portrait crop for mobile hero,Not present,✗ Missing,1,JPG 800×1200 portrait,🔴 Critical,"Portrait format luxury jewelry photograph: woman's face and neckline wearing a diamond pendant, elegant and minimal composition, warm cream background, high-end editorial style, shot from chest up, 4:5 ratio",Critical for mobile UX – hero looks broken without this
,,,,,,,,,,
COLLECTION BANNERS,,,,,,,,,
,Collection Banner,Engagement Rings banner,"Square/wide editorial photo of engagement ring collection, lifestyle or product",col-rings.jpg exists,⚠ Needs upgrade,3,JPG: 800×800 square + 1200×600 wide + 400×500 card,🔴 Critical,"Luxury editorial flat lay of three elegant diamond engagement rings arranged on cream marble surface, soft morning light from left, ring shadows visible, 14K white gold and yellow gold, round brilliant and oval cut center stones, top-down view, magazine quality photography",Need 3 formats: square card / wide banner / portrait card
